count,script,valueB,colorB,company,valueA,colorA
1,Google Analytics,46,#FF8E4B,Google,86,#FF8E4B
2,Facebook Connect,22,#5B4CC4,Facebook,30,#5B4CC4
3,Google Double Click,19,#FF8E4B,comScore,19,#F9CE35
4,Google Publisher Tags,15,#FF8E4B,Twitter,10,#F9CE35
5,Google Tag Manager,15,#FF8E4B,Yandex,10,#F9CE35
6,comScore Scorecard R.B.,12,#F9CE35
7,Google AdSense,10,#FF8E4B
8,Twitter Button,9,#F9CE35
9,Yandex.Metrics,8,#F9CE35
10,Facebook Custom Audience,7,#5B4CC4
