group,value1,value2,value3,value4,value5
Colombia,45,79,95,54,93
Mexico,47,74,93,60,93
Venezuela,37,74,91,50,86
India,12,28,48,17,60
Philippines,21,58,88,31,67
Vietnam,23,63,92,53,86
Jordan,54,84,93,70,92
Lebanon,61,96,98,76,98
Tunisia,26,60,90,36,79
Kenya,17,34,54,30,68
South Africa,32,62,84,47,82
